record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
499,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-34,-,Hela-3182,Vegetal,Basketry ,881,28,-24.8,Korpisaari et al. 2014,,X,,,790,680,740,Lowlands
500,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-6,-,Hela-3180,Vegetal,Basketry ,926,29,-24.2,Korpisaari et al. 2014,,X,,,910,730,780,Lowlands
501,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-66,-,Hela-3183,Vegetal,Basketry ,890,28,-26.7,Korpisaari et al. 2014,,X,,,880,680,750,Lowlands
502,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-7,-,Hela-3181,Vegetal,Basketry ,782,28,-24.4,Korpisaari et al. 2014,,X,,,730,570,680,Lowlands
503,Arica y Parinacota,Azapa,320.0,Lowland,Azapa 67,Tumu-1,E-13,Beta-279622,Vegetal,Vegetal,2320,50,-,Muñoz et al. 2014,,X,,,2400,2130,2230,Lowlands
504,Arica y Parinacota,Azapa,320.0,Lowland,Azapa 67,Tumu-1,E-5,Beta-279621,Vegetal,Vegetal,2840,50,-,Muñoz et al. 2014,,X,,,3060,2780,2910,Lowlands
505,Arica y Parinacota,Azapa,320.0,Lowland,Azapa 67,Tumu-2,T-1,Beta-,Animal,Camelid fiber textile ,2220,40,-,Muñoz et al. 2014,,X,,,2330,2060,2210,Lowlands
506,Arica y Parinacota,Azapa,320.0,Lowland,Azapa 67,Tumu-2,T-2,Beta-,Human,Human hair,2290,40,-,Muñoz et al. 2014,,X,,,2350,2140,2230,Lowlands
507,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 70,Tumu-1,T-10,GAK-5818,Vegetal,Manioc,2440,100,-,Muñoz 1981; Rivera 1994,,X,,,2740,2150,2470,Lowlands
508,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 70,Tumu-7,T-5,-,Human,Human soft tissue,2285,80,-,"Muñoz 1995-1996, in Muñoz and Fernandez 2014",,X,,,2460,2010,2230,Lowlands
509,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 70,Tumu-7,T-8,-,Textile,Textile,2415,75,-,"Muñoz 1995-1996, in Muñoz and Fernandez 2014",,X,,,2720,2150,2440,Lowlands
510,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-332,-,Beta-78963 ,Animal,Camelid fiber textile ,490,60,-,"Cassman 1997, in Gayó et al. 2015",,X,,,620,320,500,Lowlands
511,Arica y Parinacota,Azapa,250.0,Lowland,Azapa 71a,T-72,-,Hela-3131,Vegetal,Basketry ,563,35,-23.4,Korpisaari et al. 2014,,X,,,630,500,530,Lowlands
512,Arica y Parinacota,Azapa,250.0,Lowland,Azapa 71a,T-1,-,Hela-3130,Vegetal,Basketry ,637,37,-23,Korpisaari et al. 2014,,X,,,650,530,600,Lowlands
513,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-21,-,Beta-78953 ,Animal,Camelid fiber textile ,650,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,670,530,600,Lowlands
514,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-228,-,Beta-78960 ,Animal,Camelid fiber textile ,660,70,-,"Cassman 1997, in Gayó et al. 2015",,X,,,680,510,600,Lowlands
515,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-112A,-,Beta-78955 ,Animal,Camelid fiber textile ,670,50,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,670,540,600,Lowlands
516,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-169,-,Beta-78957 ,Animal,Camelid fiber textile ,680,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,680,530,610,Lowlands
517,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-480,-,I-11641,Human,Human soft tissue,695,75,-,Focacci 1982,,X,,,720,530,610,Lowlands
518,Arica y Parinacota,Azapa,250.0,Lowland,Azapa 71a,T-24,-,Hela-3129,Vegetal,Basketry ,759,35,-24.7,Korpisaari et al. 2014,,X,,,720,570,660,Lowlands
519,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-235A,-,I-11185 ,Human,Human soft tissue,760,75,-,"Cassman 1997, in Korpisari et al. 2014",,X,,,770,550,660,Lowlands
520,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,-,-,I-11621,Vegetal,Atriplex,765,75,-,Focacci 1982,,X,,,790,550,660,Lowlands
521,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-1,-,I-11447,Human,Human soft tissue,780,75,-,Focacci 1982,,X,,,790,560,680,Lowlands
522,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-214,-,Beta-78952 ,Animal,Camelid fiber textile ,800,70,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,880,560,690,Lowlands
523,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-287A,-,Beta-80634 ,Animal,Camelid fiber textile ,810,70,-,"Cassman 1997, in Korpisari et al. 2014",,X,,,900,560,700,Lowlands
524,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-187,-,Beta-78959 ,Animal,Camelid fiber textile ,820,40,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,770,660,700,Lowlands
525,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-147,-,Beta-77222 ,Animal,Camelid fiber textile ,830,50,-,"Cassman 1997, in Gayó et al. 2015",,X,,,800,580,710,Lowlands
526,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-173C,-,Beta-77223 ,Animal,Camelid fiber textile ,850,40,-,"Cassman 1997, in Gayó et al. 2015",,X,,,790,670,720,Lowlands
527,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-174,-,Beta-78958 ,Animal,Camelid fiber textile ,850,50,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,900,660,720,Lowlands
528,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-242,-,Beta-78961 ,Animal,Camelid fiber textile ,850,60,-,"Cassman 1997, in Gayó et al. 2015",,X,,,900,570,730,Lowlands
529,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-99B,-,Beta-78954 ,Animal,Camelid fiber textile ,850,50,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,900,660,720,Lowlands
530,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-245,-,Beta-78962 ,Animal,Camelid fiber textile ,860,70,-,"Cassman 1997, in Gayó et al. 2015",,X,,,910,580,740,Lowlands
531,Arica y Parinacota,Azapa,250.0,Lowland,Azapa 71a,T-130,-,Hela-3132,Vegetal,Basketry ,898,34,-24.6,Korpisaari et al. 2014,,X,,,900,680,760,Lowlands
532,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-3,-,I-11446,Human,Human soft tissue,1000,75,-,Focacci 1982,,X,,,1050,730,860,Lowlands
533,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-140,-,Beta-78956 ,Animal,Camelid fiber textile ,1010,80,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,1060,730,860,Lowlands
534,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-317,-,I-10857 ,Human,Human soft tissue,2560,85,-,Santoro 1980a ,,X,,,2760,2360,2580,Lowlands
535,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-311,-,I-10858,Human,Human soft tissue,2605,85,-,Santoro 1980a; Gayó et al. 2015,,X,,,2850,2360,2620,Lowlands
536,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-299,-,I-10860,Human,Human soft tissue,2660,85,-,Santoro 1980a; Gayó et al. 2015,,X,,,2940,2430,2730,Lowlands
537,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-295,-,I-10859,Human,Human soft tissue,2685,85,-,Santoro 1980a; Gayó et al. 2015,,X,,,2990,2470,2770,Lowlands
538,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-75,-,I-10856,Human,Human soft tissue,2855,85,-,Santoro 1980a; Gayó et al. 2015,,X,,,3160,2760,2940,Lowlands
539,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,T-79,-,GAK-7404,Human,Human soft tissue,2940,150,-,Santoro 1980b,,X,,,3400,2750,3060,Lowlands
540,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,-,-,I-11860,Vegetal,Charcoal,3350,95,-,Rivera 1994; Gayó et al. 2015,,X,,,3830,3360,3550,Lowlands
541,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 71,-,-,I-11186 ,Vegetal,Charcoal ,3350,95,-,Santoro 1981; Gayó et al. 2015 ,,X,,,3830,3360,3550,Lowlands
542,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,-,-,I-13781 ,Human,Human soft tissue,1190,80,-,Rivera 1994,,X,,,1270,920,1060,Lowlands
543,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,-,-,-,Animal,Camelid fiber textile ,1280,265,-,"Munoz 1996, in Gayó et al. 2015",,X,,,1700,670,1160,Lowlands
544,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,-,-,-,Human,Human hair,1635,80,-,"Munoz 1996, in Gayó et al. 2015",,X,,,1700,1310,1480,Lowlands
545,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,T-103,-,GX-18254,Human,Human soft tissue,1570,220,-,Aufderheide et al. 2002,,X,,,1930,960,1450,Lowlands
546,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,T-133,-,GX-18255,Human,Human soft tissue,2005,220,-,Aufderheide et al. 2002,,X,,,2490,1380,1930,Lowlands
547,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,T-36 ,-,I-13782 ,Human,Human soft tissue,1390,80,-,"Allison C.P., in Gayó et al. 2015",,X,,,1400,1070,1250,Lowlands
548,Arica y Parinacota,Azapa,310.0,Lowland,Azapa 75,T-46,-,GX-18253,Human,Human soft tissue,2290,240,-,Aufderheide et al. 2002,,X,,,2850,1710,2280,Lowlands
549,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 8,M-10,-,UCLA-1294b,Textile,Textile,280,80,-,"Montane 1965, in Nuñez 1976",,X,,,490,...,290,Lowlands
550,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 8,M-27,-,UCLA-1294c,Vegetal,Reed,580,80,-,"Montane 1965, in Nuñez 1976",,X,,,670,340,550,Lowlands
551,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 8,M-27,-,UCLA-1294e,Vegetal,Vegetal,610,80,-,"Espoueys 1965, in Nuñez 1976",,X,,,680,490,580,Lowlands
552,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 8,M-42,-,UCLA-1294d,Textile,Textile,810,80,-,"Espoueys 1965, in Nuñez 1976",,X,,,900,560,700,Lowlands
553,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 8,M-45,-,UCLA-1294a,Vegetal,Vegetal,680,80,-,"Espoueys 1965, in Nuñez 1976",,X,,,720,520,610,Lowlands
554,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 80,Tumu-1,E-2,Beta-302508,Vegetal,Vegetal,2230,40,-,Muñoz et al. 2014,,X,,,2330,2090,2230,Lowlands
555,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 80,Tumu-1,E-8,Beta-302509,Vegetal,Vegetal,2390,40,-,Muñoz et al. 2014,,X,,,2690,2150,2370,Lowlands
556,Arica y Parinacota,Azapa,250.0,Lowland,Azapa 83,AN-31W,Lower hearth,GAK-5809,Vegetal,Charcoal,1390,110,-,Rivera 1987,X,,,,1510,980,1240,Lowlands
557,Arica y Parinacota,Azapa,250.0,Lowland,Azapa 83,BN-31W,Intermediate hearth,GAK-5810,Vegetal,Charcoal,1190,70,-,Rivera 1987,X,,,,1260,930,1060,Lowlands
558,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 84(14),T-10,-,GAK-7402,Human,Human soft tissue,2510,130,-,Santoro 1980b,,X,,,2850,2150,2540,Lowlands
559,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 84(14),T-2,-,GAK-5815,Vegetal,Wood,2360,90,-,Rivera 1987,,X,,,2710,2120,2340,Lowlands
560,Arica y Parinacota,Azapa,200.0,Lowland,Azapa 84(14),T-55,-,GAK-7403,Human,Human soft tissue,2640,110,-,Santoro 1980b,,X,,,2930,2360,2680,Lowlands
561,Arica y Parinacota,Camarones,110.0,Coast,"Camarones Norte, desembocadura",-,-,I-11429,Vegetal,Charcoal,4335,125,-,Schiappacasse and Niemeyer 1989; Gayó et al. 2015,X,,,,5290,4530,4890,Coast
562,Arica y Parinacota,Camarones,40.0,Coast,Camarones 14,B1,(56 cm),I-9999,Vegetal,Charcoal,7420,225,-,"Schiappacasse and Niemeyer 1984, in Standen and Santoro 2004",X,,,,8640,7710,8200,Coast
563,Arica y Parinacota,Camarones,40.0,Coast,Camarones 14,B2,E-D (75 cm),I-9816,Vegetal,Charcoal,6615,390,-,Rivera and Rothammer 1986,X,,,,8300,6630,7450,Coast
564,Arica y Parinacota,Camarones,40.0,Coast,Camarones 14,F4,(37 cm),I-9817,Vegetal,Charcoal,6650,155,-,Rivera and Rothammer 1986,X,,,,7790,7170,7500,Coast
565,Arica y Parinacota,Camarones,40.0,Coast,Camarones 14,T-21,-,I-11431,Human,Human soft tissue,7000,135,-,"Schiappacasse and Niemeyer 1984, in Standen and Santoro 2004",,X,,,8030,7520,7800,Coast
566,Arica y Parinacota,Camarones,60.0,Coast,Camarones 9 ,-,-,I-14094 ,Animal,Camelid fiber textile ,570,80,-,"Allison C.P., in Gayó et al. 2015",,X,,,660,340,550,Coast
567,Arica y Parinacota,Camarones,60.0,Coast,Camarones 9 ,-,-,I-14095 ,Animal,Camelid fiber textile ,630,80,-,"Allison C.P., in Gayó et al. 2015",,X,,,680,500,590,Coast
568,Arica y Parinacota,Camarones,60.0,Coast,Camarones 9 ,T-15,-,Beta-226518 ,Vegetal,wood ,550,40,-,"Catalan 2007 ms., in Gayó et al. 2015",,X,,,630,500,530,Coast
569,Arica y Parinacota,Camarones,60.0,Coast,Camarones 9 ,T-20,-,Beta-226519 ,Vegetal,wood ,270,40,-,"Catalan 2007 ms., in Gayó et al. 2015",,X,,,440,140,280,Coast
570,Arica y Parinacota,Camarones,60.0,Coast,Camarones 9 ,T-22,-,Beta-226520 ,Vegetal,wood ,300,70,-,"Catalan 2007 ms., in Gayó et al. 2015",,X,,,500,...,320,Coast
571,Arica y Parinacota,Camarones,100.0,Coast,Camarones 15A,T-B3,-,Beta-23400,-,-,2840,110,-,Rivera 1994,,X,,,3230,2730,2940,Coast
572,Arica y Parinacota,Camarones,100.0,Coast,Camarones 15B,T-U2,-,GX-18257,Human,Human soft tissue,2915,70,-,Rivera 1994; Gayó et al. 2015,,X,,,3220,2790,3010,Coast
573,Arica y Parinacota,Camarones,100.0,Coast,Camarones 15D,T-23,-,GX-18258,Human,Human soft tissue,4010,75,-19.8,Rivera et al. 2008,,X,,,4800,4160,4440,Coast
574,Arica y Parinacota,Camarones,100.0,Coast,Camarones 15D,T-3,-,RL-2054,Human,Human soft tissue,3650,200,-,"Shea and Rivera 1994, in Rivera 1994",,X,,,4520,3450,3950,Coast
575,Arica y Parinacota,Camarones,100.0,Coast,Camarones 15D,T-6,-,GX-18256,Human,Human soft tissue,4240,145,-17.7,Rivera et al. 2008,,X,,,5290,4360,4730,Coast
576,Arica y Parinacota,Camarones,100.0,Coast,Camarones 15E,-,-,GAK-5813,Vegetal,Wood,3060,100,-,Rivera and Rothammer 1986,,X,,,3450,2940,3200,Coast
577,Arica y Parinacota,Camarones,70.0,Coast,Camarones 17,T-1,C-3,GX-15080,Vegetal,Wood Stick,6780,110,-,Aufderheide et al. 1993,,X,,,7830,7430,7610,Coast
578,Arica y Parinacota,Camarones,70.0,Coast,Camarones 17,T-1,C-4,GX-15081,Vegetal,Wood Stick,6930,140,-,Aufderheide et al. 1993,,X,,,8010,7510,7740,Coast
579,Arica y Parinacota,Camarones,,Coast,Camarones Cave ,E-10,-,-,Vegetal,Charcoal ,4693,123,-,Arriaza et al. 2001 ,,,,,5650,4970,5370,
580,Arica y Parinacota,Camarones,,Coast,Camarones Cave ,E-10.1,-,-,Vegetal,Charcoal ,4282,95,-,Arriaza et al. 2001 ,,,,,5260,4450,4780,
581,Arica y Parinacota,Camarones,,Coast,Camarones Cave ,E-13,-,-,Vegetal,Charcoal ,4082,144,-,Arriaza et al. 2001 ,,,,,4870,4090,4540,
582,Arica y Parinacota,Camarones,,Coast,Camarones Cave ,E-15,-,-,Vegetal,Charcoal ,4510,67,-,Arriaza et al. 2001 ,,,,,5310,4880,5120,
583,Arica y Parinacota,Camarones,,Coast,Camarones Cave ,E-3,-,-,Vegetal,Charcoal ,3624,64,-,Arriaza et al. 2001 ,,,,,4090,3700,3890,
584,Arica y Parinacota,Camarones,,Coast,Camarones Cave ,E-5,-,-,Vegetal,Charcoal ,4150,73,-,Arriaza et al. 2001 ,,,,,4830,4430,4640,
585,Arica y Parinacota,Camarones,40.0,Coast,Camarones 1 ,-,-,I-11430 ,Vegetal,Charcoal ,3775,155,-,"Schiappacasse and Niemeyer 1984, in Gayó et al. 2015",,,,,4530,3650,4110,Coast
586,Arica y Parinacota,Camarones,40.0,Coast,Camarones 2 ,-,-,I-11432 ,Vegetal,Charcoal ,3815,95,-,"Schiappacasse and Niemeyer 1984, in Gayó et al. 2015",,,,,4420,3890,4160,Coast
587,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,1,-,Beta-251623 ,Vegetal,Charcoal ,5680,40,-,"Rivadeneira, Marquet and Santoro C.P., in Gayó et al. 2015",,,,,6540,6310,6420,Coast
588,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,Burial ,-,-,Human,Human bone colagen,6070,40,-,"Standen, Arriaza and Santoro C.P., in Gayó et al. 2015",,X,,,7150,6750,6880,Coast
589,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak-7130 ,Vegetal,Charcoal ,4950,210,-,"Espoueys  C.P., in Gayó et al. 2015",,,,,6200,5050,5660,Coast
590,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,-,Vegetal,Charcoal ,5230,110,-,"Álvarez 1980, in Gayó et al. 2015",,,,,6270,5660,5970,Coast
591,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Beta-227238 ,Vegetal,Charcoal ,5320,50,-,"Santoro et al. 2006 Ms. C.P., in Gayó et al. 2015",,,,,6260,5930,6070,Coast
592,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak7131 ,Vegetal,Charcoal ,5600,150,-,"Espoueys C.P., in Gayó et al. 2015",,,,,6730,6000,6370,Coast
593,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Beta-214268 ,Vegetal,wood ,5620,40,-,"Santoro et al. 2006 Ms., in Gayó et al. 2015",,,,,6480,6290,6360,Coast
594,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Beta-227237 ,Vegetal,Charcoal ,5650,70,-,"Santoro et al. 2006 Ms., in Gayó et al. 2015",,,,,6610,6280,6400,Coast
595,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak-7136 ,Vegetal,Charcoal ,5670,140,-,"Espoueys C.P., in Gayó et al. 2015",,,,,6790,6030,6440,Coast
596,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak-7133 ,Vegetal,Charcoal ,5750,170,-,"Espoueys C.P., in Gayó et al. 2015",,,,,6950,6120,6530,Coast
597,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak-7134 ,Vegetal,Charcoal ,5880,160,-,"Espoueys C.P., in Gayó et al. 2015",,,,,7160,6300,6670,Coast
598,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Beta-227236 ,Vegetal,Charcoal ,5910,50,-,"Santoro et al. 2006 Ms., in Gayó et al. 2015",,,,,6850,6500,6700,Coast
599,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak-7137 ,Vegetal,Charcoal ,5950,130,-,"Espoueys C.P., in Gayó et al. 2015",,,,,7160,6410,6750,Coast
600,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Gak-7132 ,Vegetal,Charcoal ,6240,160,-,"Espoueys C.P., in Gayó et al. 2015",,,,,7430,6680,7080,Coast
601,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,-,Vegetal,Charcoal ,6270,40,-,Standen et al. 2018; Gayó et al. 2015,,X,,,7260,7000,7120,Coast
602,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,-,-,Beta-227235 ,Vegetal,Charcoal ,6550,50,-,"Santoro et al. 2006 Ms., in Gayó et al. 2015",,,,,7570,7310,7420,Coast
603,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,T-3,-,Beta-251624 ,Vegetal,Charcoal ,6390,40,-,"Rivadeneira, Marquet & Santoro C.P., in Gayó et al. 2015",,X,,,7420,7170,7280,Coast
604,Arica y Parinacota,Camarones,70.0,Coast,Camarones Punta N.,T-5,-,Beta-251625 ,Vegetal,Charcoal ,6900,50,-,"Rivadeneira, Marquet & Santoro C.P., in Gayó et al. 2015",,X,,,7830,7590,7700,Coast
605,Arica y Parinacota,Camarones,850.0,Lowland,"Camarones Sur, aldea",-,-,I-5610,Vegetal,Charcoal,680,80,-,"Niemeyer, Solimano and Schiapacasse C.P., in Rivera 1976",X,,,,720,520,610,Lowlands
606,Arica y Parinacota,Camarones,30.0,Coast,Camarones Sur,E-17,-,GAK-8645,-,-,5640,160,-,Rivera 1991,X,,,,6780,6000,6410,Coast
607,Arica y Parinacota,Camarones,30.0,Coast,Camarones Sur,E-6,-,GAK-8644,-,-,1050,110,-,"Rivera 1984, in Rivera 1994",X,,,,1180,690,910,Coast
608,Arica y Parinacota,Camarones,30.0,Coast,Camarones Sur,E-8/9,-,RL-2055,-,-,3060,380,-,Rivera 1991,X,,,,4290,2180,3230,Coast
609,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,Burial asociated,-,Beta-286650,Vegetal,Vegetal fiber,3340,40,-,Oyaneder et al. 2014,,X,,,3680,3410,3520,Coast
610,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,U-2,E-III/N-6,Beta-319880,Vegetal,Vegetal fiber,3270,30,-,Oyaneder et al. 2014,X,,,,3560,3370,3440,Coast
611,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,U-3,E-III/N-4,Beta-319881,Vegetal,Vegetal fiber,2970,30,-,Oyaneder et al. 2014,X,,,,3210,2960,3090,Coast
612,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,U-3,E-III/N-3,Beta-319882,Vegetal,Vegetal fiber,3080,30,-,Oyaneder et al. 2014,X,,,,3360,3080,3250,Coast
613,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,U-4,E-4 sup.,GAK-8777 ,Human,Human bone colagen,2790,140,-,Muñoz 2013; Munoz 1982 ,,X,,,3330,2490,2890,Coast
614,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,U-4,E-4,I-11642,Human,Human bone colagen,3450,90,-,Muñoz 2013,,X,,,3900,3450,3660,Coast
615,Arica y Parinacota,Azapa,50.0,Coast,La Capilla 1,U-4,E-4 base,GAK-8778 ,Human,Human bone colagen,3670,160,-,Muñoz 2013; Munoz 1982 ,,X,,,4420,3500,3970,Coast
616,Arica y Parinacota,Azapa,60.0,Coast,La Capilla 4 ,-,-,GAK-8779 ,Vegetal,Charcoal,690,100,-,Munoz 1982 ,X,,,,770,500,620,Coast
617,Arica y Parinacota,Azapa,60.0,Coast,La Capilla 4 ,-,-,GAK-8780,Vegetal,Charcoal,1250,100,-,Munoz 1983,X,,,,1300,930,1120,Coast
618,Arica y Parinacota,Lluta,3080.0,Precordillera,"Cardones, Alero",U-N2W4,E-10,UGAMS-2952,Vegetal,Charcoal,410,30,-,Santoro et al. 2011 ,X,,,,500,320,440,Precordillera
619,Arica y Parinacota,Lluta,3080.0,Precordillera,"Cardones, Alero",U-N2W4,E-9,Beta-246700 ,Vegetal,Charred material,830,40,-,Santoro et al. 2011 ,X,,,,770,660,710,Precordillera
620,Arica y Parinacota,Lluta,3080.0,Precordillera,"Cardones, Alero",U-N3O1,E-1,UGAMS-2950,Vegetal,Charcoal,990,30,-,Santoro et al. 2011 ,X,,,,930,790,850,Precordillera
621,Arica y Parinacota,Lluta,3080.0,Precordillera,"Cardones, Alero",U-N3W1,E-6,UGAMS-2951,Vegetal,Charcoal,620,30,-,Santoro et al. 2011 ,X,,,,640,530,600,Precordillera
622,Arica y Parinacota,Azapa,3000.0,Precordillera,El Pareja,U-2,E-9/N-A,Beta-428148,Vegetal,Charcoal,4080,30,-24.8,Sepúlveda et al. 2018; Guerrero and Sepúlveda 2020,X,,,,4790,4420,4510,Precordillera
623,Arica y Parinacota,Azapa,30.0,Coast,Chinchorro 1,T-1,C-2,GX-15083,Vegetal,Wood stick,5560,175,-,Aufderheide et al. 1993,,X,,,6730,5930,6320,Coast
624,Arica y Parinacota,Azapa,30.0,Coast,Chinchorro 1,T-1,C-1,GX-15084,Vegetal,Wood stick,6070,285,-,Aufderheide et al. 1993,,X,,,7480,6300,6900,Coast
625,Arica y Parinacota,Lluta,30.0,Coast,Chacalluta ,-,-,SUA-1338 ,Animal,Camelid fiber,1205,165,-,"Carter C.P., in Gayó et al. 2015",,,,,1360,740,1080,Coast
626,Arica y Parinacota,Lauca,4590.0,Altiplano,"Chungara, Tambo",R-3,E-5,Beta-200947,Vegetal,Charcoal ,160,50,-,Santoro et al. 2010; Gayó et al. 2015,X,,,,280,...,120,Altiplano
627,Arica y Parinacota,Tana,2400.0,Precordillera,Camiña 1,R-139,E-3/N-4,Beta-210441,Vegetal,Charcoal,710,70,-,Uribe et al. 2007 ,X,,,,730,540,620,Precordillera
628,Arica y Parinacota,Tana,2400.0,Precordillera,Camiña 1,R-296,E-2/N-C,Beta-210442,Vegetal,Charcoal,920,40,-,Uribe et al. 2007 ,X,,,,910,690,780,Precordillera
629,Arica y Parinacota,Azapa,3540.0,Precordillera,Confluencia,U-2S/E-2,N-A/R-3,Beta-400063,Vegetal,Charcoal,3030,30,-,Sepúlveda et al. 2018,X,,,,3340,3010,3180,Precordillera
630,Arica y Parinacota,Azapa,60.0,Coast,Colon 10,-,-,-,-,-,3590,30,-,Standen et al. 2018,,X,,,3970,3720,3850,Coast
631,Arica y Parinacota,Lluta,4445.0,Altiplano,Las Cuevas 2,11,-,I-13128,Vegetal,Charcoal,8270,250,-,"Santoro and Chacama 1984, in Osorio et al. 2017",X,,,,9770,8460,9170,Altiplano
632,Arica y Parinacota,Lluta,4445.0,Altiplano,Las Cuevas 2,13,-,I-12835,Vegetal,Charcoal,9540,160,-,"Santoro and Chacama 1984, in Osorio et al. 2017",X,,,,11220,10310,10820,Altiplano
633,Arica y Parinacota,Lluta,4445.0,Altiplano,Las Cuevas 2,Trin-2,E-IVA,Beta-298937 ,Vegetal,Charcoal,9630,70,-,Osorio 2013; Gayó et al. 2015,X,,,,11180,10710,10940,Altiplano
