record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
173,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,R-9,N-3/R-1,Beta-314512,Vegetal,Charcoal,2130,30,-,Uribe et al. 2020,X,,,,2280,1940,2060,Lowlands
174,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,U-1/test 1,CF,AA-39924 ,Vegetal,Plant material ,2435,63,-,Rivera 2002,,,X,,2720,2180,2460,Lowlands
175,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,U-2/test 2,CF,AA-39925 ,Vegetal,Plant material ,2285,43,-,Rivera 2002,,,X,,2340,2140,2230,Lowlands
176,Tarapacá,Llamara,1200.0,Lowland,G2-2,Z2-002-E6,CF,UGAMS-20242,Sediment,Sediment,2080,20,-,Segura et al. 2021,,,X,,2060,1930,2000,Lowlands
177,Tarapacá,Huasco,3800.0,Altiplano,Huasco 2 ,R-24,E-3,Beta-229563,Vegetal,Charcoal,480,40,-,Berenguer and Caceres 2008; Berenguer C.P.,X,,,,540,330,500,Altiplano
178,Tarapacá,Huasco,3800.0,Altiplano,Huasco 2*,-,-,Beta-142171 ,Vegetal,Charcoal,6320,50,-,Nunez et al. 2005,X,,,,7320,7010,7210,Altiplano
179,Tarapacá,Huasco,3810.0,Altiplano,Huasco 4,R-31,E-4/F-2,Beta-229568,Vegetal,Charcoal,390,40,-,Berenguer and Caceres 2008; Berenguer C.P.,X,,,,490,320,400,Altiplano
180,Tarapacá,Tarapacá,1160.0,Lowland,Iluga Canal,U-1,E-4,UCIAMS-58351,Vegetal,Wood,440,15,-,Barnard and Dooley 2017,,,X,,500,340,480,Lowlands
181,Tarapacá,Tarapacá,1160.0,Lowland,Iluga Canal,U-2,E-3,UCIAMS-58352,Vegetal,Charcoal,345,15,-,Barnard and Dooley 2017,,,X,,440,310,390,Lowlands
182,Tarapacá,Tarapacá,1160.0,Lowland,Iluga Canal,U-3,E-15,UCIAMS-58353,Vegetal,Wood,415,15,-,Barnard and Dooley 2017,,,X,,500,330,460,Lowlands
183,Tarapacá,Tarapacá,1160.0,Lowland,Iluga Canal,U-3,E-16,UCIAMS-58354,Vegetal,Wood,575,15,-,Barnard and Dooley 2017,,,X,,550,520,540,Lowlands
184,Tarapacá,Coipasa,3930.0,Altiplano,Pukar Qollu,-,-,Gak-8372 ,Animal,Animal bone ,1440,50,-,Sanhueza 1981 ,X,,,,1410,1180,1300,Altiplano
185,Tarapacá,Coipasa,3930.0,Altiplano,Pukar Qollu,-,-,Gak-8373 ,Animal,Animal bone ,1770,50,-,Sanhueza 1981 ,X,,,,1810,1530,1640,Altiplano
186,Tarapacá,Coipasa,3930.0,Altiplano,Pukar Qollu,R-317/U-1 ,E-2/N-A,Beta-227580,Vegetal,Charcoal,930,40,-,Mendez-Quiros and Uribe 2010,X,,,,920,730,790,Altiplano
187,Tarapacá,Coipasa,3930.0,Altiplano,Pukar Qollu,R-499/U-1,E-6/F-1,Beta-227581,Vegetal,Charcoal,910,60,-,Mendez-Quiros and Uribe 2010,X,,,,910,680,780,Altiplano
188,Tarapacá,Coipasa,4286.0,Altiplano,Incaguano 2,R-1 ,F-8,Beta-240405,Vegetal,Charcoal,380,60,-,Berenguer et al. 2011,X,,,,500,300,400,Altiplano
189,Tarapacá,Coipasa,4286.0,Altiplano,Incaguano 2,R-1 ,F-5,Beta-240406,Vegetal,Charcoal,470,70,-,Berenguer et al. 2011,X,,,,550,320,470,Altiplano
