site_name,period_broad,period,lab_id,period_from,period_to,sample_id,lat,lon,altitude_masl,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,material_dated,sex,age_category,age_min,age_max,sample_type,tissue,element,tissue_age,tissue_age_min,tissue_age_max,yield_pct,wt_C,wt_N,CN_ratio,d13C,d15N,wt_S,d34S,tissue_carbonate,element_carbonate,tissue_age_carbonate,tissue_age_carbonate_min,tissue_age_carbonate_max,d13C_carbonate,d18O_carbonate,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Azapa 75,Formative,Formative,T-57,-1000.0,100,T-57,-18.5242323,-70.187611,280,,,,,,,,M,Middle Adult,35.0,40.0,Bone,Bone collagen,,Adult,,,35.5,31.4,11.2,2.8,-14.5,19.1,,,Bone apatite,,Adult,,,-12.1,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-85. C–1,-1000.0,100,T-85. C–1,-18.5242323,-70.187611,280,,,,,,,,F,Infant-2,3.0,4.0,Bone,Bone collagen,,Infant-2,3.0,4.0,23.2,24.6,7.7,3.2,-13.7,18.5,,,,,,,,,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-85. C–2,-1000.0,100,T-85. C–2,-18.5242323,-70.187611,280,,,,,,,,F,Infant-2,1.0,3.0,Bone,Bone collagen,,Infant-2,1.0,3.0,28.7,16.5,5.7,2.9,-14.9,19.2,,,Bone apatite,,Infant-2,1.0,3.0,-10.7,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-131,-1000.0,100,T-131,-18.5242323,-70.187611,280,,,,,,,,F,Young Adult,30.0,35.0,Bone,Bone collagen,,Adult,,,47.2,21.0,7.4,2.8,-14.2,13.6,,,,,,,,,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-133,-1000.0,500,T-133,-18.5242323,-70.187611,280,14C,GX18254,2005.0,220.0,-284.0,254.0,Mummified tissue (muscle),M,Old Adult,45.0,55.0,Bone,Bone collagen,,Adult,,,37.7,28.1,9.8,2.9,-13.3,19.1,,,,,,,,,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-133,-1000.0,500,T-133,-18.5242323,-70.187611,280,14C,GX18255,2005.0,220.0,-284.0,254.0,Mummified tissue (muscle),M,Old Adult,45.0,55.0,Bone,Bone collagen,,Adult,,,36.8,32.2,10.7,3.0,-13.6,19.8,,,,,,,,,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Calar,Formative,Formative,H-17,-200.0,-200,3055,-22.8244,-68.0076,3398,,,,,,,,und,und,,,Bone,Bone collagen,,,,,,,,3.2,-15.7,10.7,,,Bone apatite,,,,,-11.0,,,Pestle et al. (2015a),DOI: 10.1086/679594,Northeast of San Pedro de Atacama Oasis,Antofagasta,Precordillera
Calar,Formative,Formative,H-18,-200.0,-200,3056,-22.8244,-68.0076,3398,,,,,,,,und,und,,,Bone,Bone collagen,,,,,,,,3.2,-16.9,10.8,,,Bone apatite,,,,,-11.2,,,Pestle et al. (2015a),DOI: 10.1086/679594,Northeast of San Pedro de Atacama Oasis,Antofagasta,Precordillera
Calar,Formative,Formative,H-16,-200.0,-200,3483,-22.8244,-68.0076,3398,,,,,,,,und,und,,,Bone,Bone collagen,,,,,,,,3.3,-15.7,10.1,,,Bone apatite,,,,,-10.0,,,Pestle et al. (2015a),DOI: 10.1086/679594,Northeast of San Pedro de Atacama Oasis,Antofagasta,Precordillera
Calar,Formative,Formative,H-14,-200.0,-200,3041. #213,-22.8244,-68.0076,3398,,,,,,,,und,und,,,Bone,Bone collagen,,,,,,,,3.2,-15.7,9.9,,,Bone apatite,,,,,-11.0,,,Pestle et al. (2015a),DOI: 10.1086/679594,Northeast of San Pedro de Atacama Oasis,Antofagasta,Precordillera
